출발시간	출발위치	출발X좌표	출발Y좌표	도착시간	도착위치	도착X좌표	도착Y좌표	국적	성	연령	유동인구	노드X좌표	노드Y좌표	다음노드X좌표	다음노드Y좌표
2024-05-30 16:20	83975751	127.0746223	37.54834615	2024-05-30 16:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071473	37.552329	127.071573	37.552427
2024-05-30 16:20	83975751	127.0746223	37.54834615	2024-05-30 16:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071573	37.552427	127.071692	37.552541
2024-05-30 16:20	83975751	127.0746223	37.54834615	2024-05-30 16:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071692	37.552541	127.071799	37.55263
2024-05-30 16:20	83975751	127.0746223	37.54834615	2024-05-30 16:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071799	37.55263	127.071958	37.552719
2024-05-30 16:20	83975751	127.0746223	37.54834615	2024-05-30 16:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.071958	37.552719	127.072247	37.552878
2024-05-30 16:20	83975751	127.0746223	37.54834615	2024-05-30 16:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072247	37.552878	127.072482	37.552997
2024-05-30 16:20	83975751	127.0746223	37.54834615	2024-05-30 16:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072482	37.552997	127.072534	37.552778
2024-05-30 16:20	83975751	127.0746223	37.54834615	2024-05-30 16:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072534	37.552778	127.072624	37.552368
2024-05-30 16:20	83975751	127.0746223	37.54834615	2024-05-30 16:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072624	37.552368	127.072764	37.552243
2024-05-30 16:20	83975751	127.0746223	37.54834615	2024-05-30 16:30	83943762	127.0734672	37.55239807	내국인	MALE	4	7.41	127.072764	37.552243	127.072878	37.552142
